条形码,登录号,读者条码,外借时间,应归还时间,主键码,虚拟库室,续借次数,处理时间,流通库室键码,签到键码,附件,备注
10631771,10631771,1.21412E+11,2015/6/24 16:04,2015/7/24 23:59,319320,8,0,,0,0,,
11208803,11208803,1.21402E+11,2015/6/3 20:56,2015/7/3 23:59,343039,8,0,,0,0,,
10055694,10055694,1.41426E+11,2015/6/13 17:22,2015/7/13 23:59,98414,8,0,,0,0,,
10055537,10055537,1.41426E+11,2015/6/13 17:22,2015/7/13 23:59,98398,8,0,,0,0,,
10205897,10205897,1.3143E+11,2015/4/14 16:55,2015/5/14 23:59,257849,8,0,,0,0,,
11105986,11105986,1.41406E+11,2015/6/24 16:12,2015/7/24 23:59,404787,8,0,,0,0,,
11423432,11423432,1.41418E+11,2015/6/13 17:25,2015/7/13 23:59,350460,8,0,,0,0,,
11471286,11471286,1.41406E+11,2015/6/24 16:12,2015/7/24 23:59,377052,8,0,,0,0,,
10171146,10171146,1.21402E+11,2015/6/3 20:57,2015/7/3 23:59,246086,8,0,,0,0,,
11208801,11208801,1.21402E+11,2015/6/3 20:57,2015/7/3 23:59,343039,8,0,,0,0,,
10963489,10963489,1.3143E+11,2015/4/14 16:55,2015/5/14 23:59,392017,8,0,,0,0,,
11052922,11052922,1.31402E+11,2015/6/21 17:24,2015/7/21 23:59,428421,27,0,,0,0,,
10875642,10875642,1.21416E+11,2015/6/21 11:32,2015/7/21 23:59,630500,27,0,,0,0,,
10909953,10909953,1.41426E+11,2015/6/21 17:05,2015/7/21 23:59,623633,27,0,,0,0,,
10922017,10922017,1.41425E+11,2015/6/9 10:25,2015/7/9 23:59,629359,27,0,,0,0,,
10912403,10912403,1.41404E+11,2015/6/9 10:37,2015/7/9 23:59,627651,27,0,,0,0,,
10691898,10691898,1.21406E+11,2015/6/9 10:55,2015/7/9 23:59,630902,27,0,,0,0,,
10859832,10859832,1.21404E+11,2015/6/9 11:06,2015/7/9 23:59,620204,27,0,,0,0,,
11492284,11492284,9.7E+11,2015/6/21 11:34,2015/7/21 23:59,416920,27,0,,0,0,,
10924356,10924356,9.7E+11,2015/6/21 11:34,2015/7/21 23:59,620977,27,0,,0,0,,
11231375,11231375,1.21404E+11,2015/6/21 15:26,2015/7/21 23:59,708624,27,0,,0,0,,
10781636,10781636,1.3141E+11,2015/6/21 17:06,2015/7/21 23:59,632120,27,0,,0,0,,
10408905,10408905,1.40302E+11,2015/3/26 10:56,2015/4/27 23:59,294184,8,0,,0,0,,
11109096,11109096,1.3141E+11,2015/6/21 17:07,2015/7/21 23:59,415916,27,0,,0,0,,
10693158,10693158,9903882,2015/4/21 17:11,2015/5/21 23:59,622878,27,0,,0,0,,
10769289,10769289,9903882,2015/4/21 17:11,2015/5/21 23:59,623015,27,0,,0,0,,
11064519,11064519,1.31509E+11,2015/6/21 17:44,2015/7/21 23:59,439563,27,0,,0,0,,
10781021,10781021,1.31407E+11,2015/6/9 15:55,2015/7/9 23:59,627027,27,0,,0,0,,
10863612,10863612,1.2141E+11,2015/6/9 16:14,2015/7/9 23:59,625823,27,0,,0,0,,
10850574,10850574,9.6E+11,2015/6/21 17:57,2015/7/21 23:59,622785,27,0,,0,0,,
